content,date,cleaned_content,clean_content,sentiment
"Be careful with how many treats the cat gets.... as of right now, he is due over a 160 treats... going to be one very happy and very full cat...",2025-12-24,careful many treat cat get right due treat going one happy full cat,careful many treat cat get right due treat going one happy full cat,Positive
I’m hoping they bring back the plus. Im using a 14 plus. Upgrading will be a downgrade in size.,2025-12-24,im hoping bring back plus im using plus upgrading downgrade size,im hoping bring back plus im using plus upgrading downgrade size,Neutral
"Got my I Phone 17 2 days ago, my battery experience is so bad. I got today roughly 5 hours of screentime. Hope it gets better.",2025-12-24,got phone day ago battery experience bad got today roughly hour screentime hope get better,got phone day ago battery experience bad got today roughly hour screentime hope get better,Neutral
Watching on my 17.,2025-12-24,watching,watching,Neutral
"Adding 12 GB of RAM, studio-quality mics, and USB 3 would make the base 17 iPhone perfect.",2025-12-24,adding gb ram studioquality mics usb would make base iphone perfect,adding gb ram studioquality mics usb would make base iphone perfect,Neutral
Sitting here watching on my 13 mini with 71% battery health waiting patiently for my self gifted Christmas gift (iPhone 17)  I’ll still be running this 13 mini to the ground with YouTube playing at night. It just won’t be my “daily” anymore in the same sense.,2025-12-24,sitting watching mini battery health waiting patiently self gifted christmas gift iphone ill still running mini ground youtube playing night wont daily anymore sense,sitting watching mini battery health waiting patiently self gifted christmas gift iphone ill still running mini ground youtube playing night wont daily anymore sense,Neutral
I have the iPhone 16E with no complaints,2025-12-24,iphone e complaint,iphone e complaint,Negative
"The best base iPhone Apple has ever released. It was about damn time they added a ProMotion display. Apple also giving the iPhone 17 Pro upgrades like the improved selfie camera, upgraded main cameras to 48MP on both lenses, an anti-reflective coating, and starting at 256GB for the same price as the iPhone 16 last year makes this phone absolutely incredible. The colors are great as well. I have the Sage color, and it looks really good. I upgraded from the 14 Pro and I’m glad I did, especially because I saved so much money thanks to how good the base version is",2025-12-24,best base iphone apple ever released damn time added promotion display apple also giving iphone pro upgrade like improved selfie camera upgraded main camera mp lens antireflective coating starting gb price iphone last year make phone absolutely incredible color great well sage color look really good upgraded pro im glad especially saved much money thanks good base version,best base iphone apple ever released damn time added promotion display apple also giving iphone pro upgrade like improved selfie camera upgraded main camera mp lens antireflective coating starting gb price iphone last year make phone absolutely incredible color great well sage color look really good upgraded pro im glad especially saved much money thanks good base version,Positive
"2:00 I’m using an iPhone 13 Pro Max rn, my battery life capacity is at 70%. I need to get it serviced but I’m prolly just gonna upgrade anyways since this phone is fully paid off but it’s my first iPhone so I don’t have the desire to trade it in.",2025-12-24,im using iphone pro max rn battery life capacity need get serviced im prolly gonna upgrade anyways since phone fully paid first iphone dont desire trade,im using iphone pro max rn battery life capacity need get serviced im prolly gonna upgrade anyways since phone fully paid first iphone dont desire trade,Positive
Great and informative review ! Thanks,2025-12-24,great informative review thanks,great informative review thanks,Positive
really helped me; i have a 12 Pro (very similar to the 13) and want to upgrade. thanks a lot!,2025-12-24,really helped pro similar want upgrade thanks lot,really helped pro similar want upgrade thanks lot,Positive
"Coming from a 13 mini to this 17. A great improvement under every aspect although I miss the lightness of the mini. Never had issues with memory since my 13 mini had 512gb and this 17 too. I would have loved a 768gb or 1 tb option but it’s ok. No point in buying the Pro, this standard 17 is incredible",2025-12-24,coming mini great improvement every aspect although miss lightness mini never issue memory since mini gb would loved gb tb option ok point buying pro standard incredible,coming mini great improvement every aspect although miss lightness mini never issue memory since mini gb would loved gb tb option ok point buying pro standard incredible,Positive
